country,gender,age_18_24,click
US,0.225,0.126293076545,0
IN,0.0750000000000001,0.666666666666667,1
US,0.166666666666667,0.516666666666667,0
IN,0.316666666666667,0.55,1
US,0.941666666666667,0.666666666666667,1
IN,0.1,0.575,0
US,0.3,0.666666666666667,0
IN,0.166666666666667,0.666666666666667,0
US,0.941666666666667,0.833333333333333,0
US,0.166666666666667,0.666666666666667,0
US,0.0750000000000001,0.210461760461667,0
BR,0.166666666666667,0.26996655168,0
US,0.0166666666666667,0.766666666666667,1
US,0.875,0.666666666666667,1
US,0.941666666666667,0.8,0
US,0.0666666666666667,0.516666666666667,1
US,0.875,0.516666666666667,0
US,0.9,0.575,1
US,0.133333333333333,0.267901234568333,1
IN,0.166666666666667,0.666666666666667,0
US,0.941666666666667,0.616666666666667,0
US,0.133333333333333,0.666666666666667,0
BR,0.166666666666667,0.22065186497,0
IN,0.1,0.575,1
US,0.0333333333333334,0.633333333333333,0
US,0.0583333333333334,0.666666666666667,0
US,0.166666666666667,0.666666666666667,0
US,0.323666666666667,0.666666666666667,0
US,0.166666666666667,0.201801612155,0
BR,0.166666666666667,0.566666666666667,1
US,0.125,0.666666666666667,0
BR,0.0750000000000001,0.575,0
US,0.166666666666667,0.516666666666667,1
US,0.225,0.666666666666667,0
US,0.941666666666667,0.633333333333333,0
BR,0.425,0.666666666666667,0
US,0.0750000000000001,0.575,0
US,0.0583333333333334,0.475613275613333,0
US,0.133333333333333,0.666666666666667,0
US,0.0583333333333334,0.633333333333333,0
US,0.825,0.633333333333333,0
US,0.323666666666667,0.666666666666667,0
US,0.508333333333333,0.583333333333333,0
US,0.866666666666667,0.179813770218333,0
US,0.866666666666667,0.23061889476,0
US,0.0583333333333334,0.833333333333333,0
US,0.166666666666667,0.164046866301667,0
US,0.0333333333333334,0.666666666666667,1
US,0.9,0.516666666666667,0
US,0.925,0.666666666666667,0
US,0.35,0.666666666666667,0
US,0.183333333333333,0.666666666666667,0
US,0.866666666666667,0.372554063968333,0
BR,0.425,0.666666666666667,0
US,0.208333333333333,0.666666666666667,0
BR,0.0333333333333334,0.883333333333333,0
IN,0.166666666666667,0.575,0
US,0.775,0.666666666666667,1
US,0.741666666666667,0.575,0
BR,0.425,0.666666666666667,0
US,0.941666666666667,0.616666666666667,0
IN,0.166666666666667,0.575,0
US,0.133333333333333,0.519699053285,0
IN,0.1,0.666666666666667,0
US,0.1,0.55,0
BR,0.9,0.575,0
IN,0.1,0.666666666666667,0
US,0.866666666666667,0.666666666666667,0
IN,0.258333333333333,0.55,0
US,0.3,0.616666666666667,0
IN,0.0750000000000001,0.666666666666667,0
US,0.65,0.23647586981,0
US,0.166666666666667,0.21341991342,0
US,0.316666666666667,0.575,0
IN,0.0833333333333334,0.666666666666667,0
US,0.941666666666667,0.616666666666667,0
US,0.323666666666667,0.516666666666667,0
US,0.383333333333333,0.833333333333333,0
IN,0.1,0.575,0
US,0.1,0.666666666666667,0
BR,0.166666666666667,0.55,0
BR,0.3,0.666666666666667,0
BR,0.166666666666667,0.335019100801667,0
US,0.95,0.516666666666667,1
US,0.0583333333333334,0.633333333333333,0
US,0.125,0.666666666666667,0
US,0.191512563333333,0.633333333333333,0
US,0.166666666666667,0.8,0
IN,0.15,0.516666666666667,0
US,0.9,0.575,0
IN,0.1,0.666666666666667,0
US,0.0583333333333334,0.633333333333333,0
BR,0.166666666666667,0.575,0
US,0.0583333333333334,0.666666666666667,0
US,0.925,0.666666666666667,0
IN,0.1,0.575,0
BR,0.0750000000000001,0.575,0
US,0.0583333333333334,0.616666666666667,0
US,0.0583333333333334,0.616666666666667,0
US,0.816666666666667,0.633333333333333,1
US,0.133333333333333,0.633333333333333,0
US,0.0583333333333334,0.633333333333333,0
US,0.933333333333333,0.833333333333333,0
US,0.676333333333333,0.279204745871667,0
US,0.125,0.666666666666667,0
US,0.204089615,0.666666666666667,0
US,0.916666666666667,0.135595685321667,0
US,0.875,0.666666666666667,0
US,0.166666666666667,0.15670692009,0
BR,0.166666666666667,0.23961038961,1
BR,0.7,0.666666666666667,0
IN,0.316666666666667,0.666666666666667,1
US,0.0750000000000001,0.55,0
US,0.0333333333333334,0.666666666666667,0
US,0.0583333333333334,0.833333333333333,0
US,0.108333333333333,0.152861952861667,0
IN,0.85,0.516666666666667,1
US,0.866666666666667,0.311945359716667,0
US,0.7,0.173067439481667,0
US,0.166666666666667,0.666666666666667,0
IN,0.241666666666667,0.666666666666667,0
BR,0.166666666666667,0.55,0
US,0.941666666666667,0.330836113886667,0
US,0.676333333333333,0.131537598205,0
US,0.9,0.666666666666667,0
US,0.875,0.666666666666667,0
US,0.1,0.9,0
US,0.141666666666667,0.616666666666667,0
US,0.0583333333333334,0.575,0
US,0.808487436666667,0.616666666666667,0
US,0.941666666666667,0.249255972235,0
IN,0.316666666666667,0.575,1
US,0.791666666666667,0.616666666666667,0
US,0.0916666666666668,0.833333333333333,0
US,0.0583333333333334,0.833333333333333,0
IN,0.166666666666667,0.575,0
IN,0.1,0.666666666666667,0
US,0.3,0.666666666666667,1
US,0.808487436666667,0.633333333333333,0
US,0.0583333333333334,0.666666666666667,0
IN,0.316666666666667,0.566666666666667,0
US,0.858333333333333,0.208848404681667,0
US,0.0166666666666667,0.575,0
US,0.133333333333333,0.195102680708333,0
US,0.0583333333333334,0.516666666666667,1
US,0.133333333333333,0.130078385886667,0
US,0.9,0.516666666666667,0
IN,0.166666666666667,0.575,1
US,0.1,0.616666666666667,0
US,0.0583333333333334,0.633333333333333,0
US,0.166666666666667,0.325402711766667,0
US,0.125,0.666666666666667,0
US,0.125,0.575,0
US,0.0583333333333334,0.666666666666667,0
US,0.0583333333333334,0.666666666666667,0
